repo,path,http_status,page_nav
ai-testing-strategy-book,/introduction/,200,1
ai-testing-strategy-book,/chapters/chapter-01-ai-driven-development/,200,1
ai-testing-strategy-book,/chapters/chapter-02-software-testing-fundamentals/,200,1
ai-testing-strategy-book,/chapters/chapter-03-ai-code-characteristics/,200,1
ai-testing-strategy-book,/chapters/chapter-04-ai-testing-strategy/,200,1
ai-testing-strategy-book,/chapters/chapter-05-ai-code-verification/,200,1
ai-testing-strategy-book,/chapters/chapter-06-test-automation-ai-cooperation/,200,1
ai-testing-strategy-book,/chapters/chapter-07-quality-metrics-evaluation/,200,1
ai-testing-strategy-book,/chapters/chapter-08-organization-process-transformation/,200,1
ai-testing-strategy-book,/chapters/chapter-09-case-studies/,200,1
ai-testing-strategy-book,/chapters/chapter-10-advanced-topics/,200,1
ai-testing-strategy-book,/chapters/chapter-11-future-outlook/,200,1
ai-testing-strategy-book,/appendices/appendix-a/,200,1
ai-testing-strategy-book,/appendices/appendix-a-templates/,200,1
ai-testing-strategy-book,/appendices/appendix-b-checklists/,200,1
ai-testing-strategy-book,/appendices/appendix-c-tool-comparison/,200,1
ai-testing-strategy-book,/appendices/appendix-d-glossary/,200,1
ai-testing-strategy-book,/afterword/,200,1
computational-physicalism-book,/introduction/,200,1
computational-physicalism-book,/chapters/chapter01/,200,1
computational-physicalism-book,/chapters/chapter02/,200,1
computational-physicalism-book,/chapters/chapter03/,200,1
computational-physicalism-book,/chapters/chapter04/,200,1
computational-physicalism-book,/chapters/chapter05/,200,1
computational-physicalism-book,/afterword/,200,1
formal-methods-book,/introduction/,200,1
formal-methods-book,/chapters/chapter01/,200,1
formal-methods-book,/chapters/chapter02/,200,1
formal-methods-book,/chapters/chapter03/,200,1
formal-methods-book,/chapters/chapter04/,200,1
formal-methods-book,/chapters/chapter05/,200,1
formal-methods-book,/chapters/chapter06/,200,1
formal-methods-book,/chapters/chapter07/,200,1
formal-methods-book,/chapters/chapter08/,200,1
formal-methods-book,/chapters/chapter09/,200,1
formal-methods-book,/chapters/chapter10/,200,1
formal-methods-book,/chapters/chapter11/,200,1
formal-methods-book,/chapters/chapter12/,200,1
formal-methods-book,/chapters/chapter13/,200,1
formal-methods-book,/appendices/appendix01/,200,1
formal-methods-book,/appendices/appendix02/,200,1
formal-methods-book,/appendices/appendix03/,200,1
formal-methods-book,/appendices/appendix04/,200,1
formal-methods-book,/appendices/appendix05/,200,1
formal-methods-book,/afterword/,200,1
github-workflow-book,/introduction/,200,1
github-workflow-book,/chapters/chapter01/,200,1
github-workflow-book,/chapters/chapter02/,200,1
github-workflow-book,/chapters/chapter03/,200,1
github-workflow-book,/chapters/chapter04/,200,1
github-workflow-book,/chapters/chapter05/,200,1
github-workflow-book,/chapters/chapter06/,200,1
github-workflow-book,/chapters/chapter07/,200,1
github-workflow-book,/chapters/chapter08/,200,1
github-workflow-book,/chapters/chapter09/,200,1
github-workflow-book,/chapters/chapter10/,200,1
github-workflow-book,/chapters/chapter11/,200,1
github-workflow-book,/chapters/chapter12/,200,1
github-workflow-book,/chapters/chapter13/,200,1
github-workflow-book,/chapters/chapter14/,200,1
github-workflow-book,/chapters/chapter15/,200,1
github-workflow-book,/chapters/chapter16/,200,1
github-workflow-book,/chapters/chapter17/,200,1
github-workflow-book,/appendices/appendix-a/,200,1
github-workflow-book,/appendices/appendix-b/,200,1
github-workflow-book,/appendices/appendix-c/,200,1
github-workflow-book,/appendices/appendix-d/,200,1
github-workflow-book,/appendices/appendix-e/,200,1
github-workflow-book,/appendices/appendix-f/,200,1
github-workflow-book,/appendices/appendix-g/,200,1
github-workflow-book,/afterword/,200,1
IT-infra-book,/introduction/,200,1
IT-infra-book,/chapters/chapter01/,200,1
IT-infra-book,/chapters/chapter02/,200,1
IT-infra-book,/chapters/chapter03/,200,1
IT-infra-book,/chapters/chapter04/,200,1
IT-infra-book,/chapters/chapter05/,200,1
IT-infra-book,/chapters/chapter06/,200,1
IT-infra-book,/chapters/chapter07/,200,1
IT-infra-book,/chapters/chapter08/,200,1
IT-infra-book,/chapters/chapter09/,200,1
IT-infra-book,/chapters/chapter10/,200,1
IT-infra-book,/chapters/chapter11/,200,1
IT-infra-book,/chapters/chapter12/,200,1
IT-infra-book,/chapters/chapter13/,200,1
IT-infra-book,/appendices/appendix01/,200,1
IT-infra-book,/appendices/appendix02/,200,1
IT-infra-book,/afterword/,200,1
linux-infra-textbook,/introduction/,200,1
linux-infra-textbook,/chapters/chapter-01-linux-overview/,200,1
linux-infra-textbook,/chapters/chapter-02-linux-philosophy/,200,1
linux-infra-textbook,/chapters/chapter-03-filesystem-abstraction/,200,1
linux-infra-textbook,/chapters/chapter-04-shell-and-commands/,200,1
linux-infra-textbook,/chapters/chapter-05-process-and-signals/,200,1
linux-infra-textbook,/chapters/chapter-06-permissions/,200,1
linux-infra-textbook,/chapters/chapter-07-tcp-ip/,200,1
linux-infra-textbook,/chapters/chapter-08-name-resolution/,200,1
linux-infra-textbook,/chapters/chapter-09-container-evolution/,200,1
linux-infra-textbook,/chapters/chapter-10-podman/,200,1
linux-infra-textbook,/chapters/chapter-11-with-exercises/,200,1
linux-infra-textbook,/chapters/chapter-12-with-exercises/,200,1
linux-infra-textbook,/chapters/chapter-13-with-exercises/,200,1
linux-infra-textbook,/chapters/chapter-14-with-exercises/,200,1
linux-infra-textbook,/chapters/chapter-15-infrastructure-as-code/,200,1
linux-infra-textbook,/appendices/appendix-a/,200,1
linux-infra-textbook,/appendices/merged-exercise-answers/,200,1
linux-infra-textbook2,/introduction/,200,1
linux-infra-textbook2,/chapters/chapter-01-linux-overview.html,404,0
linux-infra-textbook2,/chapters/chapter-02-linux-philosophy.html,404,0
linux-infra-textbook2,/chapters/chapter-03-filesystem-abstraction.html,404,0
linux-infra-textbook2,/chapters/chapter-04-shell-and-commands.html,404,0
linux-infra-textbook2,/chapters/chapter-05-process-and-signals.html,404,0
linux-infra-textbook2,/chapters/chapter-06-permissions.html,404,0
linux-infra-textbook2,/chapters/chapter-07-tcp-ip.html,404,0
linux-infra-textbook2,/chapters/chapter-08-name-resolution.html,404,0
linux-infra-textbook2,/chapters/chapter-09-container-evolution.html,404,0
linux-infra-textbook2,/chapters/chapter-10-podman.html,404,0
linux-infra-textbook2,/chapters/chapter-11-with-exercises.html,404,0
linux-infra-textbook2,/chapters/chapter-12-with-exercises.html,404,0
linux-infra-textbook2,/chapters/chapter-13-with-exercises.html,404,0
linux-infra-textbook2,/chapters/chapter-14-with-exercises.html,404,0
linux-infra-textbook2,/chapters/chapter-15-infrastructure-as-code.html,404,0
linux-infra-textbook2,/appendices/appendix-a/,200,1
linux-infra-textbook2,/appendices/merged-exercise-answers.html,404,0
LogicalThinking-AI-Era-Guide,/introduction/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter01/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter02/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter03/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter04/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter05/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter06/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter07/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter08/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter09/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter10/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter11/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter12/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter13/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter14/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter15/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter16/,200,1
LogicalThinking-AI-Era-Guide,/chapters/chapter17/,200,1
LogicalThinking-AI-Era-Guide,/appendices/appendix-a/,200,1
podman-book,/introduction/,200,1
podman-book,/chapters/chapter00/,404,0
podman-book,/chapters/chapter01-intro/,404,0
podman-book,/chapters/chapter02-intro/,404,0
podman-book,/chapters/chapter01/,200,1
podman-book,/chapters/chapter02/,200,1
podman-book,/chapters/chapter03/,200,1
podman-book,/chapters/chapter04/,200,1
podman-book,/chapters/chapter05/,200,1
podman-book,/chapters/chapter06/,200,1
podman-book,/chapters/chapter07/,200,1
podman-book,/chapters/chapter08/,200,1
podman-book,/chapters/chapter09/,200,1
podman-book,/chapters/chapter10/,200,1
podman-book,/chapters/chapter11/,200,1
podman-book,/chapters/chapter12/,200,1
podman-book,/chapters/chapter13/,200,1
podman-book,/chapters/chapter14/,200,1
podman-book,/chapters/chapter15/,200,1
podman-book,/appendices/appendix-a/,200,1
podman-book,/appendices/appendix-b/,200,1
podman-book,/appendices/appendix-c/,200,1
podman-book,/afterword/,200,1
practical-auth-book,/introduction/,200,1
practical-auth-book,/chapters/chapter-01-overview/,200,1
practical-auth-book,/chapters/chapter-02-authentication/,200,1
practical-auth-book,/chapters/chapter-03-authorization/,200,1
practical-auth-book,/chapters/chapter-04-session/,200,1
practical-auth-book,/chapters/chapter-05-token-auth/,200,1
practical-auth-book,/chapters/chapter-06-oauth2/,200,1
practical-auth-book,/chapters/chapter-07-oidc-saml/,200,1
practical-auth-book,/chapters/chapter-08-auth-system-design/,200,1
practical-auth-book,/chapters/chapter-09-microservices-auth/,200,1
practical-auth-book,/chapters/chapter-10-implementation-patterns/,200,1
practical-auth-book,/chapters/chapter-11-security-threats/,200,1
practical-auth-book,/chapters/chapter-12-performance/,200,1
practical-auth-book,/chapters/chapter-13-future/,200,1
practical-auth-book,/appendices/appendix-a-libraries/,200,1
practical-auth-book,/appendices/appendix-b-troubleshooting/,200,1
practical-auth-book,/appendices/appendix-c-glossary/,200,1
practical-auth-book,/appendices/appendix-d-references/,200,1
practical-auth-book,/appendices/appendix-e-01/,200,1
practical-auth-book,/appendices/appendix-e-02/,200,1
practical-auth-book,/appendices/appendix-e-03/,200,1
practical-auth-book,/appendices/appendix-e-04/,200,1
practical-auth-book,/appendices/appendix-e-05/,200,1
practical-auth-book,/appendices/appendix-e-06/,200,1
practical-auth-book,/appendices/appendix-e-07/,200,1
practical-auth-book,/appendices/appendix-e-08/,200,1
practical-auth-book,/appendices/appendix-e-09/,200,1
practical-auth-book,/appendices/appendix-e-10/,200,1
practical-auth-book,/appendices/appendix-e-11/,200,1
practical-auth-book,/appendices/appendix-e-12/,200,1
practical-auth-book,/appendices/appendix-e-13/,200,1
